label	ref	hom	het	botanical_variety	status	country
TS.423	222175	32973	3	S. lycopersicum var cerasiforme	Wild  species	Peru
TS.424	191408	63734	9	S. pimpinellifolium	Wild  species	Peru
TS.425	188414	66723	14	S. pimpinellifolium	Wild  species	Peru
TS.429	189627	65508	15	S. pimpinellifolium	Wild  species	Peru
TS.432	236206	18945	0	S. pimpinellifolium	Wild  species	Mexico
TS.434	184293	70820	38	S. pimpinellifolium	Wild  species	Peru
TS.435	186550	68571	30	S. pimpinellifolium	Wild  species	Peru
TS.437	191612	63535	4	S. pimpinellifolium	Wild  species	Peru
TS.439	185648	69478	25	S. pimpinellifolium	Wild  species	Peru
TS.440	192060	63052	36	S. pimpinellifolium	Wild  species	Ecuador
TS.48	229329	25822	0	S. lycopersicum	Landrace/Latin American cultivar	Mexico
TS.50	209761	45369	20	S. pimpinellifolium	Wild  species	Ecuador
TS.53	220405	34736	9	S. lycopersicum var cerasiforme	Wild  species	Ecuador
TS.56	225889	29260	2	S. lycopersicum var cerasiforme	Wild  species	Peru
TS.57	230460	24688	3	S. lycopersicum var cerasiforme	Wild  species	Peru
TS.61	238167	16984	0	S. lycopersicum var cerasiforme	Wild  species	Peru
TS.66	226467	28684	0	S. lycopersicum var cerasiforme	Wild  species	Peru
TS.68	218859	36284	7	S. lycopersicum	Latin American cultivar	Peru
TS.69	238199	16952	0	S. lycopersicum	Latin American cultivar	Mexico
TS.77	190401	64745	5	S. pimpinellifolium	Wild  species	Ecuador
TS.79	186930	68177	42	S. pimpinellifolium	Wild  species	Peru
TS.87	231997	23152	2	S. lycopersicum var cerasiforme	"Latin American cultivar; Wild  species"	Peru
TS.92	217179	37958	13	S. pimpinellifolium	Wild  species	Peru
TS.96	231249	23894	7	S. lycopersicum var cerasiforme	Wild  species	Mexico
