"","Position","C.T","G.A"
"1",-12,0.655851739192352,0.692101748956812
"2",-11,0.662164027424247,0.69059513719071
"3",-10,0.666329100854598,0.690705243766846
"4",-9,0.66736014770208,0.693401397289648
"5",-8,0.668406192525876,0.695999408455328
"6",-7,0.666740801173086,0.700735467221899
"7",-6,0.660026310247962,0.70908260826958
"8",-5,0.649178129401859,0.719463938181561
"9",-4,0.640167940363517,0.727660297624032
"10",-3,0.637880752357262,0.731544934635179
"11",-2,0.649033093315544,0.727709437250367
"12",-1,0.667904143740385,0.717961020388198
"13",1,0.765144176170797,0.565092022872733
"14",2,0.755295052100822,0.589447931302787
"15",3,0.746182205921859,0.607406537559952
"16",4,0.739247298439753,0.617783647030353
"17",5,0.730183208465375,0.630883084604323
"18",6,0.718732908589574,0.645855487423944
"19",7,0.712491064138868,0.650865550416394
"20",8,0.709196755249352,0.651156977206859
"21",9,0.707505949149737,0.649016364903088
"22",10,0.707687251112098,0.644039251570059
"23",11,0.706139697464647,0.641477170969171
"24",12,0.700036640471532,0.645387197101002
