accession_id	label	botanical_variety	status	country	latitude	longitude
1	TS-267	S. pimpinellifolium	Wild  species	Bolivia
2	TS-124	S. pimpinellifolium	Wild  species	Ecuador	-3.458333	-79.966667
3	TS-14	S. pimpinellifolium	Wild  species	Ecuador	0.583333,	 -77.933333
4	TS-144	S. pimpinellifolium	Wild  species	Ecuador	 -1.100000	-79.483333
5	TS-15	S. pimpinellifolium	Wild  species	Ecuador	 -3.628056,	-79,888056
6	TS-16	S. pimpinellifolium	Wild  species	Ecuador	-3.990000	-79.360000
7	TS-413	S. pimpinellifolium	Wild  species	Ecuador
8	TS-50	S. pimpinellifolium	Wild  species	Ecuador	-2.733333	-79.916667
9	TS-77	S. pimpinellifolium	Wild  species	Ecuador	0.866667	79.850000
10	TS-440	S. pimpinellifolium	Wild  species	Ecuador	-0.950000	90.966667
11	TS-432	S. pimpinellifolium	Wild  species	Mexico
12	TS-123	S. pimpinellifolium	Wild  species	Peru	-8.116667	-79.033333
13	TS-145	S. pimpinellifolium	Wild  species	Peru	 -3.566667	 -80.466667
14	TS-156	S. pimpinellifolium	Wild  species	Peru	-5.775833	 -78.783056
15	TS-164	S. pimpinellifolium	Wild  species	Peru	-6.370000	-79.790000
16	TS-17	S. pimpinellifolium	Wild  species	Peru	-9.940000	-78.230000
17	TS-18	S. pimpinellifolium	Wild  species	Peru	 -6.590000	-79.870000
18	TS-182	S. pimpinellifolium	Wild  species	Peru	-5.740000	 -78.670000
19	TS-19	S. pimpinellifolium	Wild  species	Peru	-8.390000	-78.740000
20	TS-20	S. pimpinellifolium	Wild  species	Peru	-9,481667	 -78.259167
21	TS-21	S. pimpinellifolium	Wild  species	Peru	 -13.074722	-76.402500
22	TS-22	S. pimpinellifolium	Wild  species	Peru	-11.475000	 -77.108333
23	TS-23	S. pimpinellifolium	Wild  species	Peru	-12.764722	-76.505278
24	TS-244	S. pimpinellifolium	Wild  species	Peru	-7,333333	-79,583333
25	TS-265	S. pimpinellifolium	Wild  species	Peru	-5.260833	-79.964167
26	TS-266	S. pimpinellifolium	Wild  species	Peru	-5.216667	-80.083333
27	TS-291	S. pimpinellifolium	Wild  species	Peru	-8.390000	-78.740000
28	TS-411	S. pimpinellifolium	Wild  species	Peru
29	TS-412	S. pimpinellifolium	Wild  species	Peru	 -8.116667	 -79.033333
30	TS-414	S. pimpinellifolium	Wild  species	Peru	 -11.970833	-76,791667
31	TS-415	S. pimpinellifolium	Wild  species	Peru	 -8.925000	-78.566667
32	TS-417	S. pimpinellifolium	Wild  species	Peru	-15,456389	-74.445833
33	TS-418	S. pimpinellifolium	Wild  species	Peru	-7.200000	-78.983333
34	TS-419	S. pimpinellifolium	Wild  species	Peru
35	TS-420	S. pimpinellifolium	Wild  species	Peru	-5.587500	-78,550556
36	TS-421	S. pimpinellifolium	Wild  species	Peru	-5.925000	 -78.050000
37	TS-424	S. pimpinellifolium	Wild  species	Peru
38	TS-425	S. pimpinellifolium	Wild  species	Peru
39	TS-429	S. pimpinellifolium	Wild  species	Peru
40	TS-434	S. pimpinellifolium	Wild  species	Peru	 -7.716667	-79.116667
41	TS-435	S. pimpinellifolium	Wild  species	Peru	-9.270000	-78.470000
42	TS-437	S. pimpinellifolium	Wild  species	Peru	-7,333333	-79,583333
43	TS-439	S. pimpinellifolium	Wild  species	Peru	 -3.800000	-80.700000
44	TS-79	S. pimpinellifolium	Wild  species	Peru	-14.628889	-75.214167
45	TS-92	S. pimpinellifolium	Wild  species	Peru	-6.150000	-79.733333
46	TS-32	S. lycopersicum var cerasiforme	Latin American cultivar 	Bolivia
47	TS-202	S. lycopersicum var cerasiforme	Latin American cultivar 	Brazil	-27.600000	-48.550000
48	TS-229	S. lycopersicum var cerasiforme	Wild  species 	Brazil	-12.750000	39.433333
49	TS-302	S. lycopersicum var cerasiforme	Wild  species 	Brazil
50	TS-149	S. lycopersicum var cerasiforme	Latin American cultivar 	Colombia
51	TS-105	S. lycopersicum var cerasiforme	Wild  species	Costa Rica
52	TS-107	S. lycopersicum var cerasiforme	Wild  species	Costa Rica
53	TS-289	S. lycopersicum var cerasiforme	Latin American cultivar 	Ecuador
54	TS-295	S. lycopersicum var cerasiforme	Latin American cultivar; Wild  species	Ecuador	-2.733333	-79.916667
55	TS-118	S. lycopersicum var cerasiforme	Latin American cultivar;Wild  species 	Ecuador
