accession_id	label	botanical_variety	status	country	latitude	longitude
56	TS-134	S. lycopersicum var cerasiforme	Wild  species	Ecuador	-0,816667	-80.233333
57	TS-33	S. lycopersicum var cerasiforme	Wild  species	Ecuador
58	TS-53	S. lycopersicum var cerasiforme	Wild  species	Ecuador	 -3.935278	-79.646111
59	TS-238	S. lycopersicum var cerasiforme	Wild  species 	Ecuador	 -2.170000	 -78.030000
60	TS-262	S. lycopersicum var cerasiforme	Wild  species 	Ecuador	-3.990000	 -79.360000
61	TS-299	S. lycopersicum var cerasiforme	Wild  species 	Ecuador	-3.454444	-78.555278
62	TS-300	S. lycopersicum var cerasiforme	Wild  species 	Ecuador	-0.983333	 -77.816667
63	TS-30	S. lycopersicum var cerasiforme	Wild  species	Guatemala
64	TS-31	S. lycopersicum var cerasiforme	Wild  species	Honduras	15.383333	-87.816667
65	TS-165	S. lycopersicum var cerasiforme	Latin American cultivar 	Mexico
66	TS-233	S. lycopersicum var cerasiforme	Latin American cultivar 	Mexico
67	TS-154	S. lycopersicum var cerasiforme	Wild  species	Mexico
68	TS-221	S. lycopersicum var cerasiforme	Wild  species 	Mexico
69	TS-96	S. lycopersicum var cerasiforme	Wild  species 	Mexico	19.166667	-96.133333
70	TS-181	S. lycopersicum var cerasiforme	Wild  species	Mexico	18.466667	-97.400000
71	TS-304	S. lycopersicum var cerasiforme	 Latin American cultivar 	Peru	-6.501389	-76.365556
72	TS-56	S. lycopersicum var cerasiforme	 Wild  species 	Peru	-13.550000	-72.616667
73	TS-57	S. lycopersicum var cerasiforme	 Wild  species 	Peru	 -12.616667	73.791667
74	TS-61	S. lycopersicum var cerasiforme	 Wild  species 	Peru	-14.100000	-69.025000
75	TS-129	S. lycopersicum var cerasiforme	Latin American cultivar; Wild  species 	Peru	 -6.050000	-76.966667
76	TS-87	S. lycopersicum var cerasiforme	Latin American cultivar; Wild  species 	Peru	-8.116667	-79.033333
77	TS-148	S. lycopersicum var cerasiforme	Wild  species	Peru	 -13.116667	-72.366667
78	TS-158	S. lycopersicum var cerasiforme	Wild  species	Peru	-12.866667	-72,716667
79	TS-34	S. lycopersicum var cerasiforme	Wild  species	Peru	 -13.636944	-70.460556
80	TS-37	S. lycopersicum var cerasiforme	Wild  Species	Peru
81	TS-223	S. lycopersicum var cerasiforme	Wild  species 	Peru	 -13.636944	-70.460556
82	TS-273	S. lycopersicum var cerasiforme	Wild  species 	Peru	-13.641667	-72.908333
83	TS-281	S. lycopersicum var cerasiforme	Wild  species 	Peru	 -11.166667	-74.466667
84	TS-298	S. lycopersicum var cerasiforme	Wild  species 	Peru	 -6.733333	-76.333333
85	TS-301	S. lycopersicum var cerasiforme	Wild  species 	Peru	-12.678333	 -71.301111
86	TS-423	S. lycopersicum var cerasiforme	Wild  species 	Peru
87	TS-66	S. lycopersicum var cerasiforme	Wild  species 	Peru	 -11.116667	-75.350000
88	TS-152	S. lycopersicum	Landrace/Latin American cultivar 	Brazil
89	TS-261	S. lycopersicum	Wild  species 	Brazil	-19.450000	-44.233333
90	TS-135	S. lycopersicum	Landrace/Latin American cultivar 	Chile	 -18.416667	 -70.150000
91	TS-224	S. lycopersicum	Landrace/Latin American cultivar 	Ecuador
92	TS-241	S. lycopersicum	Latin American cultivar 	Ecuador	-0.216667	-78.500000
93	TS-201	S. lycopersicum	Landrace/Latin American cultivar	El Salvador
94	TS-167	S. lycopersicum	Landrace/Latin American cultivar 	Honduras
95	TS-153	S. lycopersicum	Landrace/Latin American cultivar 	Mexico
96	TS-249	S. lycopersicum	Landrace/Latin American cultivar 	Mexico
97	TS-48	S. lycopersicum	Landrace/Latin American cultivar 	Mexico
98	TS-69	S. lycopersicum	Latin American cultivar 	Mexico
99	TS-127	S. lycopersicum	Landrace/Latin American cultivar 	Peru	-7.227222	-79.429444
100	TS-150	S. lycopersicum	Landrace/Latin American cultivar 	Peru	 -6.501389	 -76.365556
101	TS-166	S. lycopersicum	Landrace/Latin American cultivar 	Peru
102	TS-242	S. lycopersicum	Latin American cultivar 	Peru	 -13.158333	-74.223889
103	TS-256	S. lycopersicum	Latin American cultivar 	Peru	 -6.222778	-76.819167
104	TS-68	S. lycopersicum	Latin American cultivar 	Peru	 -6.766667	"-79.850000 "
105	TS-407	S. habrochaites	Wild  species 	Ecuador
106	TS-208	S. galapagense	Wild  species 	Ecuador	-0.750000	-90.316667
107	TS-408	S. chilense	Wild  species 	Peru	-17.552778	-70.028333
108	TS-199	S. cheesmaniae	Wild  species 	Ecuador	 -1.000000	 -91.416667
109	TS-207	S. cheesmaniae	Wild  species 	Ecuador	-0.422500	-91.116667
110	TS-217	S. cheesmaniae	Wild  species 	Ecuador	-0.643889	-90.329444
111	TS-403	S. peruvianum	Wild  species 	Chile
112	TS-402	S. peruvianum	Wild  species 	Peru
113	TS-404	S. peruvianum	Wild  species 	Peru
114	TS-146	S. neorickii	Wild  species 	Peru	-3.400000	-79.183333
115	En.Tibi Unknown Unknown Unknown
