Individual_code	Group	TGRC_	PI_CGN#	EA_#	Name	Botanical_variety	Categories	Origin	Province/Site	Latitude	Longitude	Raw_reads	Read_length	Raw_Bases_(bp)	Coverage	Mean_depth	
TS-14	PIM	LA1547	-	-	Chota to EI Angel	S. pimpinellifolium	Wild  species	Ecuador	Carchi	0.583333	 -77.933333 	58.611.708 	100	5.861.170.800 	95,0%	5,2 	
TS-15	PIM	LA2093	-	-		S. pimpinellifolium	Wild  species	Ecuador	El Oro 	 -3.628056	-79.888056	43.364.620 	100	4.336.462.000 	91,7%	4,4 	
TS-16	PIM	LA1246	PI365912	-		S. pimpinellifolium	Wild  species	Ecuador	Loja 	-3.990000	-79.360000	57.831.786 	100	5.783.178.600 	93,7%	5,1 	
TS-17	PIM	LA0373	-	-	Culebras	S. pimpinellifolium	Wild  species	Peru	Ancash 	-9.940000	-78.230000	56.345.650 	100	5.634.565.000 	92,6%	4,8 	
TS-18	PIM	LA1579	-	-		S. pimpinellifolium	Wild  species	Peru	Lambayeque	 -6.590000	-79.870000	56.923.432 	100	5.692.343.200 	92,4%	4,9 	
TS-19	PIM	LA1589	PI407545 	EA01467		S. pimpinellifolium	Wild  species	Peru	La Libertad	-8.390000	-78.740000	55.719.182 	100	5.571.918.200 	91,7%	4,8 	
TS-20	PIM	LA0442	-	-	Sechin	S. pimpinellifolium	Wild  species	Peru	Ancash	-9.481667	 -78.259167 	55.810.210 	100	5.581.021.000 	94,7%	4,9 	
TS-21	PIM	LA1375	PI365967 	-		S. pimpinellifolium	Wild  species	Peru	Lima	 -13.074722	-76.402500	54.660.816 	100	5.466.081.600 	91,8%	4,7 	
TS-22	PIM	LA1269	PI365957	-	Pisiquillo	S. pimpinellifolium	Wild  species	Peru	Lima	-11.475000	 -77.108333	54.472.554 	100	5.447.255.400 	92,0%	4,7 	
TS-23	PIM	LA1521	-	-	EI Pinon, Asia	S. pimpinellifolium	Wild  species	Peru	Lima	-12.764722	-76.505278	54.922.454 	100	5.492.245.400 	90,7%	4,7 	
TS-24	PIM	-	-	-		S. pimpinellifolium	Wild  species					35.162.110 	100	3.516.211.000 	87,3%	3,4 	
TS-50	PIM	LA0417	-	EA00565		S. pimpinellifolium	Wild  species	Ecuador	Guayas	-2.733333	-79.916667	55.456.718 	100	5.545.671.800 	87,9%	5,9 	
TS-77	PIM	LA1237	PI365910	-	Atacames	S. pimpinellifolium	Wild  species	Ecuador	 Esmeraldas	0.866667	-79.850000	61.858.842 	100	6.185.884.200 	90,7%	6,1 	
TS-79	PIM	LA1924	-	-	Piedras Gordas	S. pimpinellifolium	Wild  species	Peru	Ica	-14.628889	-75.214167	88.903.954 	100	8.890.395.400 	88,0%	8,7 	
TS-92	PIM	LA1582	PI407539	-	Punto Cuatro	S. pimpinellifolium	Wild  species	Peru	Lambayeque	-6.150000	-79.733333	33.633.540 	100	3.363.354.000 	50,4%	3,3 	
TS-123	PIM	LA0722	-	-	Trujillo	S. pimpinellifolium	Wild  species	Peru	La Libertad	-8.116667	-79.033333	49.567.590 	100	4.956.759.000 	75,6%	4,8 	
TS-124	PIM	LA1245	PI365911 	-	Santa Rosa	S. pimpinellifolium	Wild  species	Ecuador	El Oro	-3.458333	-79.966667	56.263.620 	100	5.626.362.000 	55,4%	4,9 	
TS-144	PIM	LA0411	PI251319 	-	Pichilingue	S. pimpinellifolium	Wild  species	Ecuador	Los Rios 	 -1.100000	-79.483333	62.156.960 	100	6.215.696.000 	67,6%	5,7 	
TS-145	PIM	LA1617	-	-	Tumbes south	S. pimpinellifolium	Wild  species	Peru	Tumbes	 -3.566667	 -80.466667	49.745.804 	100	4.974.580.400 	56,0%	2,3 	
TS-156	PIM	LA2181	-	-	Balsa Huaico	S. pimpinellifolium	Wild  species	Peru	Cajamarca	-5.775833	 -78.783056 	62.378.096 	100	6.237.809.600 	92,4%	6,2 	
TS-164	PIM	LA1584	PI407541 	-	Jayanca to La Vina	S. pimpinellifolium	Wild  species	Peru	Lambayeque	-6.370000	-79.790000	114.165.486 	100	11.416.548.600 	62,5%	8,9 	
TS-182	PIM	LA2183	-	-	Corral Quemado	S. pimpinellifolium	Wild  species	Peru	Amazonas	-5.740000	 -78.670000 	41.752.566 	100	4.175.256.600 	73,4%	3,4 	
TS-222	PIM	-	-	-	Wva 700	S. pimpinellifolium	Wild  species					65.356.536 	100	6.535.653.600 	76,7%	7,0 	
TS-244	PIM	LA1578	-	-	Santa Marta	S. pimpinellifolium	Wild  species	Peru	La Libertad 	-7.333333	-79.583333	55.566.326 	100	5.556.632.600 	91,2%	5,5 	
TS-265	PIM	LA0400	-	-	Hacienda Buenos Aires	S. pimpinellifolium	Wild  species	Peru	Piura	-5.260833	-79.964167	58.098.096 	100	5.809.809.600 	67,1%	5,5 	
TS-266	PIM	LA1478	-	-	Santo Tome	S. pimpinellifolium	Wild  species	Peru	Piura	-5.216667	-80.083333	71.600.682 	100	7.160.068.200 	69,6%	6,9 	
TS-267*	PIM	LA2660	-	-	San Ignacia de Moxos	S. pimpinellifolium	Wild  species	Bolivia	Beni			202.562.420 	100	20.256.242.000 	74,4%	18,1 	
TS-291	PIM	LA1589 	PI407545 	EA01467	Viru to Galumga	S. pimpinellifolium	Wild  species	Peru	La Libertad	-8.390000	-78.740000	49.432.280 	100	4.943.228.000 	49,4%	4,5 	
TS-410	PIM	-	PI370093	-		S. pimpinellifolium	Wild  species	Canada				100.711.048 	100	10.071.104.800 	92,7%	10,6 	
TS-411	PIM	LA0480	-	-		S. pimpinellifolium	Wild  species	Peru	Ica			64.285.442 	100	6.428.544.200 	92,2%	6,6 	
TS-412	PIM	LA0722	-	-		S. pimpinellifolium	Wild  species	Peru	La Libertad 	 -8.116667	 -79.033333	43.301.548 	100	4.330.154.800 	88,1%	4,5 	
TS-413	PIM	LA1242	-	-		S. pimpinellifolium	Wild  species	Ecuador	Guayas			67.157.190 	100	6.715.719.000 	93,4%	7,1 	
TS-414	PIM	LA1341	PI379020 	-		S. pimpinellifolium	Wild  species	Peru	Lima	 -11.970833	-76.791667	49.877.478 	100	4.987.747.800 	90,2%	5,1 	
TS-415	PIM	LA1596 	PI407552	-		S. pimpinellifolium	Wild  species	Peru	Ancash	 -8.925000	-78.566667	76.571.072 	100	7.657.107.200 	94,2%	7,7 	
TS-416	PIM	LA1847	-	-		S. pimpinellifolium	Wild  species					71.749.800 	100	7.174.980.000 	94,4%	7,6 	
TS-417	PIM	LA1933	-	-		S. pimpinellifolium	Wild  species	Peru	Arequipa	-15.456389	-74.445833	59.626.428 	100	5.962.642.800 	90,6%	6,1 	
