Individual_code	Group	TGRC_	PI_CGN#	EA_#	Name	Botanical_variety	Categories	Origin	Province/Site	Latitude	Longitude	Raw_reads	Read_length	Raw_Bases_(bp)	Coverage	Mean_depth	
TS-418	PIM	LA2147	-	-		S. pimpinellifolium	Wild  species	Peru	Cajamarca	-7.200000	-78.983333	55.487.778 	100	5.548.777.800 	93,6%	5,9 	
TS-419	PIM	LA2173	-	-		S. pimpinellifolium	Wild  species	Peru	Cajamarca			59.361.256 	100	5.936.125.600 	93,1%	6,1 	
TS-420	PIM	LA2184	-	-		S. pimpinellifolium	Wild  species	Peru	Amazonas	-5.587500	-78.550556	55.498.628 	100	5.549.862.800 	92,7%	5,8 	
TS-421	PIM	LA2187	-	-		S. pimpinellifolium	Wild  species	Peru	 Amazonas 	-5.925000	 -78.050000	56.411.540 	100	5.641.154.000 	92,9%	5,8 	
TS-422	PIM	LA2425	-	-		S. pimpinellifolium	Wild  species					54.683.736 	100	5.468.373.600 	90,6%	5,6 	
TS-424	PIM	-	PI126947	-		S. pimpinellifolium	Wild  species	Peru				48.184.088 	100	4.818.408.800 	89,9%	4,9 	
TS-425	PIM	-	PI126925	-		S. pimpinellifolium	Wild  species	Peru				58.005.630 	100	5.800.563.000 	90,6%	5,9 	
TS-429	PIM	-	PI126954	-		S. pimpinellifolium	Wild  species	Peru				68.117.978 	100	6.811.797.800 	93,3%	7,0 	
TS-432	PIM	-	PI270449	-		S. pimpinellifolium	Wild  species	Mexico				47.806.392 	100	4.780.639.200 	94,9%	5,4 	
TS-433	PIM	-	PI370093	-		S. pimpinellifolium	Wild  species	Canada				48.396.802 	100	4.839.680.200 	94,3%	5,3 	
TS-434	PIM	LA1591	PI407547	-	SAL1871 	S. pimpinellifolium	Wild  species	Peru	 La Libertad 	 -7.716667	-79.116667	59.333.440 	100	5.933.344.000 	92,3%	6,1 	
TS-435	PIM	LA1595	PI407551	-	SAL1875	S. pimpinellifolium	Wild  species	Peru	Ancash	-9.270000	-78.470000	56.572.400 	100	5.657.240.000 	91,4%	5,8 	
TS-437	PIM	LA1578	-	-	SAL1858	S. pimpinellifolium	Wild  species	Peru	 La Libertad 	-7.333333	-79.583333	46.799.920 	100	4.679.992.000 	89,8%	4,8 	
TS-438	PIM	-	-	-	CN7542	S. pimpinellifolium	Wild  species					63.970.848 	100	6.397.084.800 	93,6%	6,6 	
TS-439	PIM	LA2656	PI503524	-		S. pimpinellifolium	Wild  species	Peru	Tumbes	 -3.800000	-80.700000	65.242.236 	100	6.524.223.600 	92,1%	6,7 	
TS-440	PIM	LA2857	-	-		S. pimpinellifolium	Wild  species	Ecuador	Galapagos Islands 	-0.950000	-90.966667	55.283.766 	100	5.528.376.600 	93,7%	5,8 	
TS-441	PIM	LA4431	-	-		S. pimpinellifolium	Wild  species					61.906.330 	100	6.190.633.000 	91,5%	6,3 	
TS-13	CER	-	-	-	Pime-Bruce	S. pimpinellifolium	Wild  species					57.524.650 	100	5.752.465.000 	95,0%	5,3 	
TS-25	CER	-	-	-	Clémentine	S. lycopersicum var cerasiforme	cultivar					69.294.286 	100	6.929.428.600 	97,1%	7,4 	
TS-26	CER	-	-	-		S. lycopersicum var cerasiforme	cultivar	Argentina				70.192.924 	100	7.019.292.400 	96,2%	7,4 	
TS-27	CER	-	-	-	N135 Green Gage	S. lycopersicum var cerasiforme	cultivar	Deutchland				81.631.354 	100	8.163.135.400 	97,7%	8,8 	
TS-28	CER	-	-	-	N 347 Yablochnyi	S. lycopersicum var cerasiforme		Mexico				80.722.300 	100	8.072.230.000 	98,1%	8,6 	
TS-29	CER	-	-	-		S. lycopersicum var cerasiforme	cultivar	India				72.834.812 	100	7.283.481.200 	97,0%	7,6 	
TS-30	CER	LA1204	-	-		S. lycopersicum var cerasiforme	Wild  species	Guatemala	Quetzaltenango			64.664.488 	100	6.466.448.800 	96,1%	6,8 	
TS-31	CER	LA1464	-	-		S. lycopersicum var cerasiforme	Wild  species	Honduras	El Progreso, Yoro 	15.383333	-87.816667	83.757.614 	100	8.375.761.400 	97,5%	8,4 	
TS-32	CER	LA0172	-	-	Santa Cruz	S. lycopersicum var cerasiforme	Latin American cultivar 	Bolivia	Santa Cruz 			92.950.668 	100	9.295.066.800 	97,9%	9,7 	
TS-33	CER	LA2137	-	-		S. lycopersicum var cerasiforme	Wild  species	Ecuador	Morona-Santiago 			82.490.038 	100	8.249.003.800 	97,2%	8,2 	
TS-34	CER	LA2675	-	-		S. lycopersicum var cerasiforme	Wild  species	Peru	Puno 	 -13.636944	-70.460556	69.231.854 	100	6.923.185.400 	96,5%	7,1 	
TS-35	CER	-	-	-	tomate Richters	S. lycopersicum var cerasiforme	uncertain					71.691.376 	100	7.169.137.600 	98,2%	7,6 	
TS-36	CER	-	PI187002-1	-		S. lycopersicum var cerasiforme	cultivar	Guatemala				80.385.334 	100	8.038.533.400 	97,5%	8,3 	
TS-37	CER	-	-	-	L. pimpinellifolium atypique, site 10 (F300045)	S. lycopersicum var cerasiforme	Wild  Species	Peru				76.230.626 	100	7.623.062.600 	94,2%	7,3 	
TS-38	CER	-	PI129088	-		S. lycopersicum var cerasiforme	cultivar	Colombia				77.020.410 	100	7.702.041.000 	97,6%	7,7 	
TS-39	CER	-	-	-	Cerise Gold	S. lycopersicum var cerasiforme	cultivar					80.763.220 	100	8.076.322.000 	94,9%	7,8 	
TS-40	CER	-	-	-	Cerise VFNT	S. lycopersicum var cerasiforme	cultivar					77.041.566 	100	7.704.156.600 	91,0%	7,2 	
TS-53	CER	LA2095	-	-		S. lycopersicum var cerasiforme	Wild  species	Ecuador	Loja 	 -3.935278	-79.646111	63.681.360 	100	6.368.136.000 	95,6%	6,9 	
TS-54	CER	-	-	-	cerise rose	S. lycopersicum var cerasiforme	cultivar					40.240.166 	100	4.024.016.600 	85,8%	3,9 	
TS-56	CER	LA1320	PI365923	-		S. lycopersicum var cerasiforme	 Wild  species 	Peru	Apurimac	-13.550000	-72.616667	60.223.158 	100	6.022.315.800 	94,7%	6,0 	
TS-57	CER	LA1307	PI378998	-		S. lycopersicum var cerasiforme	 Wild  species 	Peru	Ayacucho	 -12.616667	-73.791667	62.753.230 	100	6.275.323.000 	95,9%	6,4 	
TS-61	CER	LA2670	-	-	Huayvaruni	S. lycopersicum var cerasiforme	 Wild  species 	Peru	Puno	-14.100000	-69.025000	59.696.644 	100	5.969.664.400 	91,4%	6,5 	
TS-62	CER	-	-	EA02959				Argentina				73.447.272 	100	7.344.727.200 	70,0%	7,2 	
TS-63	CER	-	-	-								51.088.100 	100	5.108.810.000 	95,4%	5,0 	
TS-64	CER	-	-	EA03525			Cocktail tomato	Russia				45.263.386 	100	4.526.338.600 	89,1%	4,2 	
TS-65	CER	LA1482	-	-		S. lycopersicum var cerasiforme	Wild  species 	Malaysia 				58.468.786 	100	5.846.878.600 	91,3%	6,3 	
TS-66	CER	LA1388	PI379009	-	H707	S. lycopersicum var cerasiforme	Wild  species 	Peru	Junin	 -11.116667	-75.350000	56.320.394 	100	5.632.039.400 	93,0%	5,4 	
TS-67	CER	-	-	EA02304			Cocktail tomato	EL SALVADOR				53.714.578 	100	5.371.457.800 	96,0%	5,2 	
TS-70	CER	-	-	-	Pyriforme	S. lycopersicum var cerasiforme	cultivar					102.018.516 	100	10.201.851.600 	89,9%	9,7 	
TS-71	CER	-	-	-	Ohmiya SunCerise	S. lycopersicum var cerasiforme	cultivar					69.319.710 	100	6.931.971.000 	96,9%	7,4 	
TS-72	CER	-	-	-	Principe Borghese		Vintage cultivar	Italy				57.629.188 	100	5.762.918.800 	97,0%	5,8 	
TS-75	CER	-	-	-	Poire jaune	S. lycopersicum var cerasiforme	cultivar					70.156.212 	100	7.015.621.200 	98,0%	7,7 	
TS-83*	CER	-	-	EA01953		S. lycopersicum var cerasiforme	cultivar	ZAIRE				80.002.092 	100	8.000.209.200 	98,0%	8,5 	
TS-84	CER	-	-	-								74.637.160 	100	7.463.716.000 	97,1%	7,8 	
TS-87	CER	LA1701	-	-	Trujillo	S. lycopersicum var cerasiforme	"Latin American cultivar; Wild  species "	Peru	La Libertad 	-8.116667	-79.033333	38.062.494 	100	3.806.249.400 	70,8%	3,2 	
TS-91	CER	-	-	-	N 2759 Enano	S. lycopersicum var cerasiforme	cultivar	Argentina				83.512.490 	100	8.351.249.000 	55,4%	6,9 	
TS-94	CER	-	-	-	Farthest North	S. lycopersicum var cerasiforme	cultivar	France				152.827.704 	100	15.282.770.400 	80,9%	13,0 	
TS-96	CER	LA1456	-	-		S. lycopersicum var cerasiforme	Wild  species 	Mexico	Vera Cruz	19.166667	-96.133333	103.343.342 	100	10.334.334.200 	37,5%	7,3 	
TS-97	CER	LA0154	-	-	Tiny tim	S. lycopersicum var cerasiforme		France				142.003.604 	100	14.200.360.400 	65,5%	13,4 	
TS-98	CER	LA4355	-	-	Gold Nugget 	S. lycopersicum var cerasiforme	cultivar	United States				67.055.806 	100	6.705.580.600 	78,3%	6,9 	
TS-99	CER	-	-	-	Celsior	S. lycopersicum var cerasiforme						48.708.922 	100	4.870.892.200 	93,7%	4,1 	
TS-105	CER	-	-	EA01448		S. lycopersicum var cerasiforme	Wild  species	Costa Rica				56.462.728 	100	5.646.272.800 	94,1%	4,8 	
TS-106	CER	-	-	-		S. lycopersicum var cerasiforme	cultivar	Costa Rica				49.149.416 	100	4.914.941.600 	94,9%	4,6 	
TS-107	CER	LA1542	-	-	Turrialba	S. lycopersicum var cerasiforme	Wild  species	Costa Rica	Costa Rica 			50.302.812 	100	5.030.281.200 	43,5%	3,6 	
TS-109	CER	-	-	EA02660			Cocktail tomato					52.834.394 	100	5.283.439.400 	95,1%	4,7 	
TS-116	CER	-	-	-	N1565	S. lycopersicum var cerasiforme	cultivar	Peru				60.342.172 	100	6.034.217.200 	35,8%	0,6 	
TS-118	CER	LA0292	-	-	Santa Cruz, Galapagos	S. lycopersicum var cerasiforme	"Latin American cultivar;Wild  species "	Ecuador	Galapagos Islands 			66.518.884 	100	6.651.888.400 	66,5%	2,8 	
TS-119*	CER	-	-	-	Wva 106	S. lycopersicum var cerasiforme	Wild  species 	France				134.196.916 	100	13.419.691.600 	64,2%	10,0 	
TS-120	CER	-	-	EA01356				unknown				74.297.746 	100	7.429.774.600 	98,2%	8,4 	
TS-129	CER	LA2845	-	-	Moyobamba	S. lycopersicum var cerasiforme	"Latin American cultivar; Wild  species "	Peru	San Martin 	 -6.050000	-76.966667	52.505.630 	100	5.250.563.000 	95,4%	5,9 	
TS-131*	CER	LA1162	-	-	Cuba Plum	S. lycopersicum var cerasiforme	cultivar	Cuba	un			48.255.198 	100	4.825.519.800 	95,7%	5,5 	
TS-134	CER	LA1429	-	-	La Estancilla	S. lycopersicum var cerasiforme	Wild  species	Ecuador	Manabi	-0.816667	-80.233333	47.353.416 	100	4.735.341.600 	68,2%	3,4 	
TS-138	CER	-	-	-	Malintka 101		cultivar	Italy				65.736.492 	100	6.573.649.200 	96,3%	6,9 	
TS-148	CER	LA1323	PI365924 	-	Pfacchayoc	S. lycopersicum var cerasiforme	Wild  species	Peru	Cusco 	 -13.116667	-72.366667	53.834.630 	100	5.383.463.000 	94,0%	5,9 	
TS-149	CER	LA1425	PI379060	-	Villa Hermosa	S. lycopersicum var cerasiforme	Latin American cultivar 	Colombia	Cauca			52.999.414 	100	5.299.941.400 	55,3%	4,4 	
TS-154	CER	LA1623	-	-	Muna	S. lycopersicum var cerasiforme	Wild  species	Mexico	Yucatan			62.951.188 	100	6.295.118.800 	97,2%	7,1 	
TS-158	CER	LA2626 	-	EA01541	 PE-67 	S. lycopersicum var cerasiforme	Wild  species	Peru	Cusco	-12.866667	-72.716667	89.991.370 	100	8.999.137.000 	97,1%	9,2 	
TS-165	CER	LA1218	-	-	Veracruz	S. lycopersicum var cerasiforme	Latin American cultivar 	Mexico	Vera Cruz 			57.643.772 	100	5.764.377.200 	98,2%	6,3 	
TS-181	CER	LA1457 	-	EA01438		S. lycopersicum var cerasiforme	Wild  species	Mexico 		18.466667	-97.400000	115.364.158 	100	11.536.415.800 	86,9%	5,0 	
TS-187	CER	-	-	-	Monplaisir	S. lycopersicum var cerasiforme	cultivar					49.796.528 	100	4.979.652.800 	93,8%	4,7 	
TS-189	CER	-	-	-	Nagcarlang		cultivar	Philippines				56.015.304 	100	5.601.530.400 	96,0%	5,4 	
TS-202	CER	LA2402	-	-		S. lycopersicum var cerasiforme	Latin American cultivar 	Brazil	Santa Catarina 	-27.600000	-48.550000	61.503.358 	100	6.150.335.800 	66,2%	2,9 	
TS-205	CER	-	-	-	8 bis	S. lycopersicum var cerasiforme	cultivar					65.577.472 	100	6.557.747.200 	91,9%	4,4 	
TS-209	CER	-	-	-	Da serbo		landrace	Italy				92.962.612 	100	9.296.261.200 	84,6%	3,3 	
TS-213	CER	-	-	EA01784				Italy				58.482.596 	100	5.848.259.600 	96,8%	6,6 	
TS-216	CER	-	-	-	Phyra	S. lycopersicum var cerasiforme	cultivar					49.756.820 	100	4.975.682.000 	17,1%	0,3 	
TS-219	CER	-	-	-	Mobalcon		landrace	Greece				28.845.092 	100	2.884.509.200 	78,3%	2,1 	
TS-221	CER	LA1569	-	-	Jalapa	S. lycopersicum var cerasiforme	Wild  species 	Mexico	Vera Cruz 			50.856.932 	100	5.085.693.200 	90,9%	5,2 	
TS-223	CER	LA2675 	-	EA01557		S. lycopersicum var cerasiforme	Wild  species 	Peru	Puno	 -13.636944	-70.460556	172.138.770 	100	17.213.877.000 	65,6%	10,1 	
TS-227	CER	-	-	-	Atom	S. lycopersicum var cerasiforme	cultivar					37.371.034 	100	3.737.103.400 	76,4%	2,4 	
TS-229	CER	LA1620	-	-		S. lycopersicum var cerasiforme	Wild  species 	Brazil	Bahia	-12.750000	-39.433333	63.112.096 	100	6.311.209.600 	97,5%	7,1 	
TS-230	CER	-	-	-	Cerise Ildi	S. lycopersicum var cerasiforme	cultivar					127.105.900 	100	12.710.590.000 	73,3%	13,2 	
TS-231	CER	-	-	-	L 285	S. lycopersicum var cerasiforme	cultivar					62.241.910 	100	6.224.191.000 	95,2%	6,1 	
TS-233	CER	LA1218	-	EA00602		S. lycopersicum var cerasiforme	Latin American cultivar 	Mexico	Vera Cruz 			22.043.492 	100	2.204.349.200 	38,1%	0,9 	
TS-238	CER	LA1228	PI379047	-	Macas	S. lycopersicum var cerasiforme	Wild  species 	Ecuador	Morona-Santiago	 -2.170000	 -78.030000 	76.102.568 	100	7.610.256.800 	80,3%	7,8 	
TS-240	CER	LA3136	-	-	Arroyo Rico	S. lycopersicum var cerasiforme	Wild  species 	Cuba	Holguin			57.683.188 	100	5.768.318.800 	92,9%	5,3 	
TS-243	CER	-	-	EA04228				Mexico 				47.464.034 	100	4.746.403.400 	95,3%	4,3 	
TS-247	CER	-	-	-	N 795 Pescio	S. lycopersicum var cerasiforme	cultivar	Peru				67.417.196 	100	6.741.719.600 	96,9%	6,8 	
TS-248	CER	-	-	-								58.935.084 	100	5.893.508.400 	94,9%	5,9 	
TS-250	CER	-	-	EA03539				Russia				63.688.952 	100	6.368.895.200 	97,7%	6,6 	
TS-252	CER	-	-	EA01802			cocktail tomato	Italy				54.772.144 	100	5.477.214.400 	96,9%	5,8 	
TS-254	CER	-	-	EA02979								44.004.490 	100	4.400.449.000 	94,2%	4,6 	
TS-257	CER	-	-	-	Marpha N2	S. lycopersicum var cerasiforme	cultivar	France				96.040.806 	100	9.604.080.600 	34,6%	5,7 	
TS-258	CER	-	-	-	Minibel	S. lycopersicum var cerasiforme	cultivar					55.719.168 	100	5.571.916.800 	94,6%	5,7 	
TS-260	CER	-	-	-	Cerise Orange dUzès	S. lycopersicum var cerasiforme	cultivar	France				84.107.900 	100	8.410.790.000 	29,6%	5,0 	
TS-262	CER	LA1247 	PI379058 	EA01403		S. lycopersicum var cerasiforme	Wild  species 	Ecuador	Loja 	-3.990000	 -79.360000 	57.509.180 	100	5.750.918.000 	96,8%	6,2 	
TS-271	CER	-	-	-	Linosa		landrace	Italy				58.284.748 	100	5.828.474.800 	70,6%	6,1 	
TS-273	CER	LA2640 	-	EA01545	PE-63	S. lycopersicum var cerasiforme	Wild  species 	Peru	Apurimac	-13.641667	-72.908333	51.002.644 	100	5.100.264.400 	94,9%	5,2 	
TS-280	CER	-	-	-	Cerise du sud ouest N 2	S. lycopersicum var cerasiforme	Wild  species 					59.445.120 	100	5.944.512.000 	98,0%	6,7 	
TS-281	CER	LA1286	PI365920	-	San Martin de Pangoa	S. lycopersicum var cerasiforme	Wild  species 	Peru	 Junin 	 -11.166667	-74.466667	45.958.788 	100	4.595.878.800 	94,9%	5,1 	
TS-283	CER	-	-	-	Cisterno	S. lycopersicum var cerasiforme	cultivar					50.056.940 	100	5.005.694.000 	96,1%	5,7 	
TS-284	CER	-	-	-	Cerazjnho		landrace	Brasil				41.701.262 	100	4.170.126.200 	92,0%	3,5 	
TS-286	CER	-	-	-	Allungato piccolo		landrace	Brasil				32.179.580 	100	3.217.958.000 	68,6%	1,8 	
TS-287	CER	-	-	EA00915			Cocktail tomato	Unknown				40.640.550 	100	4.064.055.000 	87,9%	3,3 	
TS-289*	CER	LA1244	PI379044	EA00610		S. lycopersicum var cerasiforme	Latin American cultivar 	Ecuador	Guayas			25.945.752 	100	2.594.575.200 	53,7%	1,2 	
TS-290	CER	-	-	-	N 2257 Dikorastushii...	S. lycopersicum var cerasiforme	cultivar	Peru				91.300.520 	100	9.130.052.000 	67,6%	8,2 	
TS-294	CER	-	-	-	N 933	S. lycopersicum var cerasiforme	cultivar	Uzbekistan				39.006.082 	100	3.900.608.200 	85,8%	2,9 	
TS-295*	CER	LA0417	-	-	Puna	S. lycopersicum var cerasiforme	"Latin American cultivar; Wild  species"	Ecuador	Guayas	-2.733333	-79.916667	120.669.258 	100	12.066.925.800 	78,9%	12,6 	
TS-298	CER	LA2308	-	-	San Francisco	S. lycopersicum var cerasiforme	Wild  species 	Peru	San Martin 	 -6.733333	-76.333333	70.609.448 	100	7.060.944.800 	78,5%	7,0 	
TS-299	CER	LA2131	-	-	Bomboiza	S. lycopersicum var cerasiforme	Wild  species 	Ecuador	Zamora-Chinchipe 	-3.454444	-78.555278	51.420.642 	100	5.142.064.200 	97,4%	5,5 	
TS-300	CER	LA1231 	PI379049	-	Tena	S. lycopersicum var cerasiforme	Wild  species 	Ecuador	Napo	-0.983333	 -77.816667	68.310.406 	100	6.831.040.600 	84,8%	6,9 	
TS-301	CER	LA2688	-	-	Santa Cruz near Shintuyo	S. lycopersicum var cerasiforme	Wild  species 	Peru	Madre de Dios 	-12.678333	 -71.301111	61.816.242 	100	6.181.624.200 	58,0%	6,3 	
TS-302	CER	LA1543	-	-	Upper Parana	S. lycopersicum var cerasiforme	Wild  species 	Brazil				62.336.416 	100	6.233.641.600 	97,8%	6,7 	
TS-303	CER	LA1461	-	-	Los Banos	S. lycopersicum var cerasiforme	Wild  species 	Phillipines	Los Banos 	14.150000	 121.233333 	107.151.464 	100	10.715.146.400 	76,8%	11,2 	
TS-304*	CER	LA2307	-	-	Tarapoto	S. lycopersicum var cerasiforme	 Latin American cultivar 	Peru	San Martin 	-6.501389	-76.365556 	52.698.166 	100	5.269.816.600 	96,2%	6,0 	
TS-423*	CER	LA2840	-	-		S. lycopersicum var cerasiforme	Wild  species 	Peru	Amazonas 			53.901.326 	100	5.390.132.600 	93,9%	5,9 	
TS-426*	CER	LA1263 	PI365918 	-	SAL345	S. lycopersicum var cerasiforme	cultivar	Ecuador 	Guayas 			46.874.592 	100	4.687.459.200 	94,7%	5,2 	
TS-427*	CER	-	PI126933	-		S. lycopersicum var cerasiforme	cultivar	Peru				47.238.084 	100	4.723.808.400 	93,8%	5,1 	
TS-428*	CER	-	PI126953	-		S. lycopersicum var cerasiforme	cultivar	Peru				44.303.760 	100	4.430.376.000 	84,3%	4,4 	
TS-430*	CER	-	PI127807	-	BL 587-S	S. lycopersicum var cerasiforme	cultivar	Peru				67.895.354 	100	6.789.535.400 	96,0%	7,4 	
TS-431*	CER	-	PI127807	-	BL 587	S. lycopersicum var cerasiforme	cultivar	Peru	 			62.496.908 	100	6.249.690.800 	96,1%	6,8 	
TS-436*	CER	-	-	-	BL 359	S. lycopersicum var cerasiforme	cultivar					53.222.016 	100	5.322.201.600 	97,2%	5,9 	
TS-1	BIG	LA0490	-	-	VF-36	S. lycopersicum	Vintage Processing	United States				60.798.146 	100	6.079.814.600 	97,6%	5,8 	
TS-2	BIG	LA2706	-	-	Moneymaker	S. lycopersicum	Vintage Fresh Market	England				92.468.918 	100	9.246.891.800 	96,8%	8,7 	
TS-3#	BIG	LA3475	-	-	M-82	S. lycopersicum	Modern Processing	Israel				61.114.414 	100	6.111.441.400 	96,1%	5,7 	
TS-4	BIG	LA3856	-	-	Hawaii 7998	S. lycopersicum	Inbreed line					56.079.118 	100	5.607.911.800 	95,6%	5,3 	
TS-5	BIG	LA2711	-	-	Edkawi	S. lycopersicum	Vintage Fresh Market	Egypt				60.977.684 	100	6.097.768.400 	97,3%	5,8 	
TS-6	BIG	LA3008	-	-	San Marzano	S. lycopersicum	Vintage Processing	Italy				46.547.152 	100	4.654.715.200 	95,0%	4,4 	
