label	lat	lon	p1	p2	p3
TS.23	-12.764722	-76.505278	0.000001	0.999998	0.000001
TS.437	-7,333333	-79,583333	0.000001	0.999998	0.000001
TS.17	-9.94	-78.23	0.000001	0.999999	0.000001
TS.435	-9.27	-78.47	0.000001	0.999998	0.000001
TS.440	-0.95	90.966667	0.000001	0.718926	0.281073
TS.265	-5.260833	-79.964167	0.300941	0.641238	0.057822
TS.50	-2.733333	-79.916667	0.056044	0.000001	0.943955
TS.15	-3.628056,	-79,888056	0.000001	0.000001	0.999998
TS.266	-5.216667	-80.083333	0.296528	0.647103	0.056368
TS.417	-15,456389	-74.445833	0.000001	0.999998	0.000001
TS.21	-13.074722	-76.4025	0.000001	0.949628	0.050371
TS.418	-7.2	-78.983333	0.010684	0.651872	0.337444
TS.420	-5.5875	-78,550556	0.000001	0.436649	0.563350
TS.19	-8.39	-78.74	0.000001	0.999998	0.000001
TS.415	-8.925	-78.566667	0.000001	0.999999	0.000001
TS.20	-9,481667	-78.259167	0.000001	0.852767	0.147232
TS.145	-3.566667	-80.466667	0.197313	0.000001	0.802687
TS.77	0.866667	79.85	0.000001	0.999998	0.000001
TS.244	-7,333333	-79,583333	0.000001	0.991957	0.008042
TS.421	-5.925	-78.05	0.000001	0.923053	0.076946
TS.414	-11.970833	-76,791667	0.000001	0.999998	0.000001
TS.22	-11.475	-77.108333	0.000001	0.999998	0.000001
TS.16	-3.99	-79.36	0.000001	0.010779	0.989221
TS.439	-3.8	-80.7	0.000001	0.999998	0.000001
TS.18	-6.59	-79.87	0.000001	0.999998	0.000001
TS.412	-8.116667	-79.033333	0.000001	0.999998	0.000001
TS.156	-5.775833	-78.783056	0.000001	0.743747	0.256252
TS.144	-1.1	-79.483333	0.190678	0.528531	0.280791
TS.123	-8.116667	-79.033333	0.160469	0.839530	0.000001
TS.164	-6.37	-79.79	0.264979	0.735021	0.000001
TS.434	-7.716667	-79.116667	0.000001	0.999999	0.000001
TS.79	-14.628889	-75.214167	0.000001	0.999998	0.000001
TS.291	-8.39	-78.74	0.450552	0.549447	0.000001
TS.92	-6.15	-79.733333	0.435809	0.564190	0.000001
TS.182	-5.74	-78.67	0.204711	0.233813	0.561476
TS.14	0.583333,	-77.933333	0.000001	0.651841	0.348159
TS.124	-3.458333	-79.966667	0.590449	0.184524	0.225026
